obsnme,obsval,weight,standard_deviation,obgnme
wp_bp_0011_20200429,410.397932,0.0,9.144,valid
wp_bp_0011_20200520,410.9130633,0.0,9.144,valid
wp_bp_0011_20200622,411.1264084,0.0,9.144,valid
wp_bp_0011_20200709,410.8825908,0.0,9.144,valid
wp_bp_0011_20200811,410.5594849,0.0,9.144,valid
wp_bp_0011_20200924,410.5259614,0.0,9.144,valid
wp_bp_0011_20201020,409.1604634,0.0,9.144,valid
wp_bp_0011_20201124,407.4535909,0.0,9.144,valid
wp_bp_0011_20210118,406.5788164,0.0,9.144,valid
wp_bp_0011_20210225,406.222187,0.0,9.144,valid
wp_bp_0011_20210324,406.374587,0.0,9.144,valid
wp_bp_0011_20210427,406.1917144,0.0,9.144,valid
wp_bp_0011_20210527,410.8033398,0.0,9.144,valid
wp_bp_0011_20210611,411.6019143,0.0,9.144,valid
wp_bp_0011_20210727,411.2574888,0.0,9.144,valid
wp_bp_0011_20210811,411.0197359,0.0,9.144,valid
wo_bp_0011_20150101,397.3542713,0.0,9.144,oobs
wo_bp_0011_20150201,397.8318115,0.0,9.144,oobs
wo_bp_0011_20150301,398.0186302,0.0,9.144,oobs
wo_bp_0011_20150401,398.1582082,0.0,9.144,oobs
wo_bp_0011_20150501,398.2601082,0.0,9.144,oobs
wo_bp_0011_20150601,398.3943392,0.0,9.144,oobs
wo_bp_0011_20150701,398.5578544,0.0,9.144,oobs
wo_bp_0011_20150801,398.6884229,0.0,9.144,oobs
wo_bp_0011_20150901,398.7268804,0.0,9.144,oobs
wo_bp_0011_20151001,398.6905334,0.0,9.144,oobs
wo_bp_0011_20151101,398.6618182,0.0,9.144,oobs
wo_bp_0011_20151201,398.7326778,0.0,9.144,oobs
wo_bp_0011_20160101,398.8461857,0.0,9.144,oobs
wo_bp_0011_20160201,398.9291012,0.0,9.144,oobs
wo_bp_0011_20160301,398.9489541,0.0,9.144,oobs
wo_bp_0011_20160401,398.9738051,0.0,9.144,oobs
wo_bp_0011_20160501,399.0258721,0.0,9.144,oobs
wo_bp_0011_20160601,399.1015503,0.0,9.144,oobs
wo_bp_0011_20160701,399.1707042,0.0,9.144,oobs
wo_bp_0011_20160801,399.1759187,0.0,9.144,oobs
wo_bp_0011_20160901,399.1334542,0.0,9.144,oobs
wo_bp_0011_20161001,399.0719598,0.0,9.144,oobs
wo_bp_0011_20161101,398.993548,0.0,9.144,oobs
wo_bp_0011_20161201,398.9460513,0.0,9.144,oobs
wo_bp_0011_20170101,398.9389712,0.0,9.144,oobs
wo_bp_0011_20170201,398.926708,0.0,9.144,oobs
wo_bp_0011_20170301,398.9068426,0.0,9.144,oobs
wo_bp_0011_20170401,398.8738255,0.0,9.144,oobs
wo_bp_0011_20170501,398.8143937,0.0,9.144,oobs
wo_bp_0011_20170601,398.7181389,0.0,9.144,oobs
wo_bp_0011_20170701,398.5957942,0.0,9.144,oobs
wo_bp_0011_20170801,398.4567298,0.0,9.144,oobs
wo_bp_0011_20170901,398.3151317,0.0,9.144,oobs
wo_bp_0011_20171001,398.1833477,0.0,9.144,oobs
wo_bp_0011_20171101,398.0669108,0.0,9.144,oobs
wo_bp_0011_20171201,397.9431173,0.0,9.144,oobs
wo_bp_0011_20180101,397.8170657,0.0,9.144,oobs
wo_bp_0011_20180201,397.6966464,0.0,9.144,oobs
wo_bp_0011_20180301,397.5716284,0.0,9.144,oobs
wo_bp_0011_20180401,397.4398783,0.0,9.144,oobs
wo_bp_0011_20180501,397.3076685,0.0,9.144,oobs
wo_bp_0011_20180601,397.1762988,0.0,9.144,oobs
wo_bp_0011_20180701,397.0464451,0.0,9.144,oobs
wo_bp_0011_20180801,396.9163093,0.0,9.144,oobs
wo_bp_0011_20180901,396.8027613,0.0,9.144,oobs
wo_bp_0011_20181001,396.8286746,0.0,9.144,oobs
wo_bp_0011_20181101,397.0003809,0.0,9.144,oobs
wo_bp_0011_20181201,397.2072941,0.0,9.144,oobs
wo_bp_0011_20190101,397.4004268,0.0,9.144,oobs
wo_bp_0011_20190201,397.5823959,0.0,9.144,oobs
wo_bp_0011_20190301,397.7082522,0.0,9.144,oobs
wo_bp_0011_20190401,397.7441955,0.0,9.144,oobs
wo_bp_0011_20190501,397.7462719,0.0,9.144,oobs
wo_bp_0011_20190601,397.8210357,0.0,9.144,oobs
wo_bp_0011_20190701,397.9019442,0.0,9.144,oobs
wo_bp_0011_20190801,397.9110069,0.0,9.144,oobs
wo_bp_0011_20190901,397.8409858,0.0,9.144,oobs
wo_bp_0011_20191001,397.7227514,0.0,9.144,oobs
wo_bp_0011_20191101,397.5801244,0.0,9.144,oobs
wo_bp_0011_20191201,397.4262303,0.0,9.144,oobs
wo_bp_0011_20200101,397.265651,0.0,9.144,oobs
wo_bp_0011_20200201,397.1119583,0.0,9.144,oobs
wo_bp_0011_20200301,396.9948743,0.0,9.144,oobs
wo_bp_0011_20200401,396.9348856,0.0,9.144,oobs
wo_bp_0011_20200501,396.9186942,0.0,9.144,oobs
wo_bp_0011_20200601,396.9680286,0.0,9.144,oobs
wo_bp_0011_20200701,397.0777794,0.0,9.144,oobs
wo_bp_0011_20200801,397.114982,0.0,9.144,oobs
wo_bp_0011_20200901,397.0691067,0.0,9.144,oobs
wo_bp_0011_20201001,397.017765,0.0,9.144,oobs
wo_bp_0011_20201101,396.9420987,0.0,9.144,oobs
