obsnme                             value 
wp_bp_0011_20210427       3.95977321E+02 
wp_bp_0011_20210527       3.95836015E+02 
wp_bp_0011_20210611       3.95784485E+02 
wp_bp_0011_20210727       3.95863346E+02 
wp_bp_0011_20210811       3.95939498E+02 
wo_bp_0011_20150101       3.98348450E+02 
wo_bp_0011_20150201       3.98496982E+02 
wo_bp_0011_20150301       3.98576560E+02 
wo_bp_0011_20150401       3.98609614E+02 
wo_bp_0011_20150501       3.98614560E+02 
wo_bp_0011_20150601       3.98639406E+02 
wo_bp_0011_20150701       3.98703978E+02 
wo_bp_0011_20150801       3.98767415E+02 
wo_bp_0011_20150901       3.98773957E+02 
wo_bp_0011_20151001       3.98718868E+02 
wo_bp_0011_20151101       3.98648146E+02 
wo_bp_0011_20151201       3.98656257E+02 
wo_bp_0011_20160101       3.98725560E+02 
wo_bp_0011_20160201       3.98789548E+02 
wo_bp_0011_20160301       3.98803991E+02 
wo_bp_0011_20160401       3.98802970E+02 
wo_bp_0011_20160501       3.98826428E+02 
wo_bp_0011_20160601       3.98878462E+02 
wo_bp_0011_20160701       3.98938716E+02 
wo_bp_0011_20160801       3.98956542E+02 
wo_bp_0011_20160901       3.98920485E+02 
wo_bp_0011_20161001       3.98859295E+02 
wo_bp_0011_20161101       3.98781346E+02 
wo_bp_0011_20161201       3.98714699E+02 
wo_bp_0011_20170101       3.98690074E+02 
wo_bp_0011_20170201       3.98674963E+02 
wo_bp_0011_20170301       3.98652197E+02 
wo_bp_0011_20170401       3.98622316E+02 
wo_bp_0011_20170501       3.98572654E+02 
wo_bp_0011_20170601       3.98492838E+02 
wo_bp_0011_20170701       3.98385031E+02 
wo_bp_0011_20170801       3.98257304E+02 
wo_bp_0011_20170901       3.98122982E+02 
wo_bp_0011_20171001       3.97991954E+02 
wo_bp_0011_20171101       3.97876003E+02 
wo_bp_0011_20171201       3.97759120E+02 
wo_bp_0011_20180101       3.97634934E+02 
wo_bp_0011_20180201       3.97516352E+02 
wo_bp_0011_20180301       3.97394643E+02 
wo_bp_0011_20180401       3.97266041E+02 
wo_bp_0011_20180501       3.97136483E+02 
wo_bp_0011_20180601       3.97007373E+02 
