parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom
f40_ds1_045,log,factor,90.81840033,85,100,zb005,1,0,1
f40_ds1_050,log,factor,118.536988,110,130,zb005,1,0,1
f40_ds1_055,log,factor,156.3597746,145,175,zb005,1,0,1
f40_ds1_060,log,factor,204.304415,190,220,zb005,1,0,1
f40_ds1_065,log,factor,262.388564,235,285,zb005,1,0,1
f40_ds1_070,log,factor,330.6298766,310,360,zb005,1,0,1
f40_ds1_075,log,factor,409.0460075,390,450,zb005,1,0,1
f41_ds2_015,log,factor,2.163420098,1,3,zb005,1,0,1
f41_ds2_020,log,factor,16.73359889,10,20,zb005,1,0,1
f41_ds1_025,log,factor,5.506670134,3,10,zb005,1,0,1
f41_ds2_025,log,factor,27.75167396,24,30,zb005,1,0,1
f41_ds1_030,log,factor,20,16,24,zb005,1,0,1
f41_ds2_030,log,factor,37.25017584,34,40,zb005,1,0,1
f41_ds1_035,log,factor,30,26,60,zb005,1,0,1
f41_ds2_035,log,factor,45.29568789,42,48,zb005,1,0,1
f41_ds1_040,log,factor,162.1181159,120,170,zb005,1,0,1
f41_ds2_040,log,factor,51.95479345,50,53,zb005,1,0,1
f41_ds1_045,log,factor,196.3656616,185,210,zb005,1,0,1
f41_ds2_045,log,factor,57.29407589,55,59,zb005,1,0,1
f41_ds1_050,log,factor,241.5711597,230,252,zb005,1,0,1
f41_ds1_055,log,factor,297.7522271,280,320,zb005,1,0,1
f41_ds1_060,log,factor,364.9264808,345,385,zb005,1,0,1
f41_ds1_065,log,factor,443.1115376,420,470,zb005,1,0,1
f42_ds2_015,log,factor,2.80779,1,5,zb005,1,0,1
f42_ds1_020,log,factor,0.10224084,0.1,2.1,zb005,1,-0.1,1
f42_ds2_020,log,factor,13.6589376,12,16,zb005,1,0,1
f42_ds1_025,log,factor,6.08149,5,9,zb005,1,0,1
f42_ds2_025,log,factor,18.38273438,17,19.5,zb005,1,0,1
f42_ds1_030,log,factor,20,16,24,zb005,1,0,1
f42_ds2_030,log,factor,22.3529994,21,23,zb005,1,0,1
f42_ds1_035,log,factor,30,26,34,zb005,1,0,1
f42_ds2_035,log,factor,25.60744433,25,26.5,zb005,1,0,1
f42_ds1_040,log,factor,40,36,44,zb005,1,0,1
f42_ds2_040,log,factor,28.1837808,27,29,zb005,1,0,1
f42_ds1_045,log,factor,60,52,68,zb005,1,0,1
f42_ds1_050,log,factor,80,72,88,zb005,1,0,1
f42_ds1_055,log,factor,105.9241085,95,115,zb005,1,0,1
f42_ds1_060,log,factor,153.2333152,145,180,zb005,1,0,1
f42_ds1_065,log,factor,210.6932017,200,225,zb005,1,0,1
f42_ds1_070,log,factor,278.3215746,260,300,zb005,1,0,1
f42_ds1_075,log,factor,356.1362406,330,390,zb005,1,0,1
f42_ds1_080,log,factor,444.1550064,420,480,zb005,1,0,1
f43_ds2_015,log,factor,0.4662,0.1,3.1,zb003,1,-0.1,1
f43_ds2_020,log,factor,6.54022,5,9,zb003,1,0,1
f43_ds1_025,log,factor,6.15345,3,10,zb003,1,0,1
f43_ds2_025,log,factor,23.26478437,18,30,zb003,1,0,1
f43_ds1_030,log,factor,20,16,24,zb003,1,0,1
f43_ds2_030,log,factor,37.800035,34,41,zb003,1,0,1
f43_ds1_035,log,factor,30,26,60,zb003,1,0,1
f43_ds2_035,log,factor,50.29554813,46,54,zb003,1,0,1
f43_ds1_040,log,factor,126.749576,90,140,zb003,1,0,1
f43_ds2_040,log,factor,60.9009,56,64,zb003,1,0,1
f43_ds1_045,log,factor,168.3053904,150,190,zb003,1,0,1
f43_ds1_050,log,factor,221.4349375,210,240,zb003,1,0,1
f43_ds1_055,log,factor,286.1555208,260,305,zb003,1,0,1
f43_ds1_060,log,factor,362.484444,350,380,zb003,1,0,1
f44_ds2_020,log,factor,0.300260315,0.1,4.1,zb001,1,-0.1,1
f44_ds1_025,log,factor,5.36699,4,10,zb001,1,0,1
f44_ds1_030,log,factor,20,16,24,zb001,1,0,1
f44_ds1_035,log,factor,30,26,34,zb001,1,0,1
f44_ds1_040,log,factor,47.3139376,40,55,zb001,1,0,1
f44_ds1_045,log,factor,78.46100764,65,91,zb001,1,0,1
f44_ds1_050,log,factor,120.3832375,110,140,zb001,1,0,1
f44_ds1_055,log,factor,173.0983616,155,195,zb001,1,0,1
f44_ds1_060,log,factor,236.6241144,210,260,zb001,1,0,1
f44_ds1_065,log,factor,310.9782303,300,340,zb001,1,0,1
f44_ds1_070,log,factor,396.1784437,365,425,zb001,1,0,1
f50_ds2_015,log,factor,3.90185,1.5,6,zb003,1,0,1
f50_ds2_020,log,factor,9.0857336,7,11,zb003,1,0,1
