name,obs_mean,obs_std,obs_min,obs_max,obs_stat_min,obs_stat_max,sim_mean,sim_std,sim_min,sim_max,sim_stat_min,sim_stat_max,distance
WA_BS_0010_20171001,245.848,8.77858,224.669,273.113,254.626,237.069,204.125,0.221912,203.522,204.836,204.347,203.904,19.8334
WA_BS_0010_20171101,245.935,9.44617,209.193,272.169,255.381,236.489,204.107,0.22497,203.494,204.827,204.332,203.882,4.36573
WA_BS_0010_20171201,245.699,8.7062,219.255,276.37,254.405,236.993,204.112,0.227926,203.491,204.841,204.34,203.884,14.4134
WA_BS_0010_20180101,246.698,9.25111,221.329,273.522,255.949,237.447,204.111,0.230916,203.48,204.85,204.342,203.88,16.4786
WA_BS_0019_20171201,161.31,8.75465,138.841,187.104,170.064,152.555,191.147,0.0969283,190.829,191.391,191.244,191.05,3.72505
WA_BS_0019_20180101,159.942,9.71643,134.468,186.622,169.658,150.226,191.049,0.0991634,190.729,191.302,191.148,190.95,4.10701
WA_BS_0019_20180201,157.906,9.11322,132.225,179.562,167.019,148.793,190.886,0.104789,190.563,191.166,190.99,190.781,11.0005
WA_BS_0019_20180301,157.102,8.76062,129.02,183.115,165.862,148.341,190.639,0.111343,190.314,190.95,190.751,190.528,7.19987
WA_BS_0019_20180601,155.694,9.10211,128.88,180.699,164.796,146.592,190.141,0.117821,189.786,190.467,190.258,190.023,9.08679
WA_BS_0019_20180701,152.483,8.86426,130.542,179.151,161.347,143.619,189.944,0.120067,189.572,190.277,190.064,189.824,10.4217
WA_BS_0019_20180801,151.4,9.17784,113.502,180.97,160.578,142.223,189.758,0.121388,189.376,190.091,189.879,189.636,8.40557
WA_BS_0019_20180901,157.265,9.37886,131.881,185.79,166.644,147.887,189.659,0.117924,189.286,189.969,189.776,189.541,3.49551
WA_BS_0019_20191101,162.316,8.70073,135.705,183.121,171.017,153.615,190.554,0.126127,190.176,190.94,190.681,190.428,7.05468
WA_BS_0019_20191201,158.626,8.93009,135.001,185.125,167.556,149.696,190.257,0.129493,189.858,190.649,190.387,190.128,4.73247
WA_BS_0003_20180901,264.977,9.16377,234.85,290.249,274.141,255.813,225.677,0.233405,225,226.312,225.91,225.444,8.53764
WA_BS_0003_20181001,269.541,8.98799,246.526,292.439,278.529,260.553,225.675,0.234992,224.992,226.314,225.91,225.44,20.2119
WA_BS_0003_20181101,272.505,9.00963,249.696,298.074,281.514,263.495,225.672,0.236597,224.982,226.314,225.908,225.435,23.3818
WA_BS_0003_20181201,274.453,9.02726,248.295,300.551,283.481,265.426,225.666,0.238164,224.971,226.312,225.905,225.428,21.9825
WA_BS_0003_20190101,276.663,8.96952,255.401,302.189,285.632,267.693,225.661,0.239726,224.959,226.31,225.901,225.421,29.0903
WA_BS_0003_20190201,276.424,9.17853,252.746,310.626,285.603,267.246,225.656,0.241195,224.948,226.308,225.897,225.414,26.4381
WA_BS_0003_20190401,275.43,8.66435,251.136,297.734,284.095,266.766,225.642,0.244164,224.924,226.301,225.886,225.398,24.835
WA_BS_0003_20190501,275.825,9.12256,249.475,309.947,284.948,266.703,225.635,0.245625,224.911,226.297,225.881,225.389,23.1782
WA_BS_0003_20190601,275.9,9.20357,251.096,302.877,285.104,266.697,225.628,0.247089,224.899,226.294,225.875,225.381,24.8029
WA_BS_0003_20190701,273.616,9.3535,245.491,305.161,282.969,264.262,225.618,0.24858,224.884,226.286,225.867,225.369,19.2046
WA_BS_0003_20190801,272.973,9.73747,244.812,301.403,282.711,263.236,225.606,0.250058,224.867,226.278,225.856,225.356,18.5343
WA_BS_0003_20190901,271.917,8.56848,244.538,296.237,280.485,263.348,225.596,0.251463,224.851,226.27,225.847,225.344,18.2678
WA_BS_0003_20191001,267.511,9.21087,244.904,297.955,276.722,258.3,225.586,0.252864,224.837,226.264,225.839,225.333,18.6404
WA_BS_0003_20191101,266.802,8.84439,241.693,299.578,275.646,257.957,225.581,0.254201,224.827,226.261,225.836,225.327,15.432
WA_BS_0003_20191201,265.523,9.79878,238.336,290.08,275.322,255.724,225.579,0.255517,224.821,226.262,225.835,225.324,12.0746
WA_BS_0032_20191001,196.78,8.86606,174.028,223.793,205.646,187.914,231.546,0.201763,230.948,232.059,231.748,231.344,7.15427
WA_BS_0032_20191101,196.57,9.25093,173.51,223.266,205.821,187.319,231.52,0.202939,230.919,232.037,231.723,231.317,7.65252
WA_BS_0032_20191201,197.365,9.34155,174.199,222.653,206.706,188.023,231.491,0.204122,230.888,232.014,231.695,231.287,8.23514
WA_BS_0006_20160701,163.612,9.18818,135.186,186.697,172.8,154.424,242.541,0.26852,241.678,243.156,242.81,242.272,54.9808
WA_BS_0006_20160801,161.092,8.63718,135.898,185.288,169.729,152.454,242.483,0.260877,241.641,243.089,242.744,242.222,56.3533
WA_BS_0006_20160901,159.999,9.46246,132.255,186.616,169.462,150.537,242.465,0.259963,241.625,243.072,242.725,242.205,55.0094
WA_BS_0006_20161001,159.971,9.14204,132.369,184.004,169.113,150.829,242.443,0.258231,241.608,243.048,242.701,242.184,57.6042
WA_BS_0006_20161101,158.582,9.07364,129.228,186.202,167.655,149.508,242.391,0.252858,241.572,242.989,242.644,242.138,55.3698
WA_BS_0006_20161201,160.038,8.79066,132.393,189.546,168.829,151.248,242.348,0.249444,241.54,242.943,242.597,242.098,51.9941
WA_BS_0006_20170101,159.343,9.25897,123.702,184.851,168.602,150.084,242.315,0.247719,241.513,242.908,242.563,242.068,56.6621
WA_BS_0006_20170201,160.052,9.44358,134.453,189.577,169.495,150.608,242.292,0.247148,241.492,242.885,242.539,242.045,51.9154
WA_BS_0006_20170301,162.14,8.89847,133.709,187.18,171.038,153.241,242.274,0.247239,241.475,242.868,242.522,242.027,54.2948
WA_BS_0006_20170401,161.746,8.88462,135.745,191.313,170.63,152.861,242.249,0.246278,241.454,242.842,242.495,242.003,50.141
WA_BS_0006_20170501,160.931,8.29082,142.711,186.526,169.222,152.64,242.21,0.243851,241.424,242.802,242.454,241.966,54.8971
WA_BS_0006_20170601,161.674,8.71473,130.059,183.936,170.389,152.96,242.154,0.239618,241.382,242.743,242.393,241.914,57.4464
WA_BS_0006_20170701,159.825,9.61041,132.511,189.468,169.435,150.214,242.101,0.236402,241.341,242.687,242.337,241.865,51.8723
WA_BS_0006_20170801,156.921,9.64299,129.423,193.266,166.564,147.278,242.04,0.232567,241.294,242.621,242.272,241.807,48.0277
WA_BS_0006_20170901,155.464,9.02787,131.803,187.768,164.492,146.436,241.995,0.230777,241.256,242.576,242.225,241.764,53.4883
WA_BS_0006_20171001,154.999,8.76763,130.317,181.677,163.767,146.232,241.961,0.23047,241.225,242.544,242.192,241.731,59.5484
WA_BS_0006_20171101,154.09,8.80881,131.595,176.402,162.899,145.281,241.93,0.230332,241.195,242.517,242.161,241.7,64.7933
WA_BS_0006_20171201,153.521,9.74223,125.493,186.383,163.263,143.778,241.888,0.22899,241.159,242.476,242.117,241.659,54.7763
WA_BS_0006_20180101,153.423,9.306,126.908,186.939,162.729,144.117,241.844,0.22757,241.122,242.437,242.072,241.616,54.1823
WA_BS_0006_20180201,155.245,9.34576,130.668,179.787,164.591,145.899,241.801,0.226443,241.085,242.396,242.028,241.575,61.2981
WA_BS_0006_20180301,154.199,9.42978,127.188,184.999,163.629,144.769,241.753,0.224768,241.044,242.35,241.978,241.528,56.0443
WA_BS_0006_20180401,155.634,8.82255,132.289,184.281,164.456,146.811,241.706,0.223561,241.003,242.307,241.93,241.483,56.7222
WA_BS_0006_20180501,155.612,9.22489,127.708,181.321,164.837,146.387,241.664,0.222919,240.966,242.269,241.887,241.441,59.6451
