parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom
f42_ds2_015,log,factor,3.66698,1.0,5.0,zb005,1.0,0.0,1
f42_ds1_020,log,factor,0.110886,0.1,2.1,zb005,1.0,-0.1,1
f42_ds2_020,log,factor,14.4205,12.0,16.0,zb005,1.0,0.0,1
f42_ds1_025,log,factor,5.98551,5.0,9.0,zb005,1.0,0.0,1
f42_ds2_025,log,factor,18.6505,17.0,19.5,zb005,1.0,0.0,1
f42_ds1_030,log,factor,20.8023,16.0,24.0,zb005,1.0,0.0,1
f42_ds2_030,log,factor,22.9728,21.0,23.0,zb005,1.0,0.0,1
f42_ds1_035,log,factor,30.9595,26.0,34.0,zb005,1.0,0.0,1
f42_ds2_035,log,factor,25.7286,25.0,26.5,zb005,1.0,0.0,1
f42_ds1_040,log,factor,38.5081,36.0,44.0,zb005,1.0,0.0,1
f42_ds2_040,log,factor,28.9085,27.0,29.0,zb005,1.0,0.0,1
f42_ds1_045,log,factor,63.041,52.0,68.0,zb005,1.0,0.0,1
f42_ds1_050,log,factor,80.4312,72.0,88.0,zb005,1.0,0.0,1
f42_ds1_055,log,factor,103.728,95.0,115.0,zb005,1.0,0.0,1
f42_ds1_060,log,factor,152.269,145.0,180.0,zb005,1.0,0.0,1
f42_ds1_065,log,factor,207.426,200.0,225.0,zb005,1.0,0.0,1
f42_ds1_070,log,factor,268.893,260.0,300.0,zb005,1.0,0.0,1
f42_ds1_075,log,factor,349.296,330.0,390.0,zb005,1.0,0.0,1
f42_ds1_080,log,factor,461.907,420.0,480.0,zb005,1.0,0.0,1
f43_ds2_015,log,factor,0.437143,0.1,3.1,zb003,1.0,-0.1,1
f43_ds2_020,log,factor,6.77401,5.0,9.0,zb003,1.0,0.0,1
f43_ds1_025,log,factor,7.32903,3.0,10.0,zb003,1.0,0.0,1
f43_ds2_025,log,factor,25.1153,18.0,30.0,zb003,1.0,0.0,1
f43_ds1_030,log,factor,17.5996,16.0,24.0,zb003,1.0,0.0,1
f43_ds2_030,log,factor,36.7789,34.0,41.0,zb003,1.0,0.0,1
f43_ds1_035,log,factor,32.2631,26.0,60.0,zb003,1.0,0.0,1
f43_ds2_035,log,factor,48.8107,46.0,54.0,zb003,1.0,0.0,1
f43_ds1_040,log,factor,130.864,90.0,140.0,zb003,1.0,0.0,1
