name,value,group,weight
wo_bp_0011_20190801,397.911,oobs,0
wo_bp_0011_20190901,397.841,oobs,0
wo_bp_0011_20191001,397.723,oobs,0
wo_bp_0011_20191101,397.58,oobs,0
wo_bp_0011_20191201,397.426,oobs,0
wo_bp_0011_20200101,397.266,oobs,0
wo_bp_0011_20200201,397.112,oobs,0
wo_bp_0011_20200301,396.995,oobs,0
wo_bp_0011_20200401,396.935,oobs,0
wo_bp_0011_20200501,396.919,oobs,0
wo_bp_0011_20200601,396.968,oobs,0
wo_bp_0011_20200701,397.078,oobs,0
wo_bp_0011_20200801,397.115,oobs,0
wo_bp_0011_20200901,397.069,oobs,0
wo_bp_0011_20201001,397.018,oobs,0
wo_bp_0011_20201101,396.942,oobs,0
wo_bp_0011_20201201,396.829,oobs,0
wo_bp_0011_20210101,396.691,oobs,0
wo_bp_0011_20210201,396.549,oobs,0
wo_bp_0011_20210301,396.403,oobs,0
wo_bp_0011_20210401,396.253,oobs,0
wo_bp_0011_20210501,396.106,oobs,0
wo_bp_0011_20210601,396.045,oobs,0
wo_bp_0011_20210701,396.15,oobs,0
wo_bp_0011_20210801,396.324,oobs,0
wo_bp_0011_20210901,396.421,oobs,0
wo_bp_0011_20211001,396.41,oobs,0
wo_bp_0011_20211101,396.34,oobs,0
wo_bp_0011_20211201,396.262,oobs,0
wp_bp_0013_20180216,360.533,zb006,0.5
wp_bp_0013_20180313,360.03,zb006,0.5
wp_bp_0013_20180418,359.451,zb006,0.5
wp_bp_0013_20180515,359.451,zb006,0.5
wp_bp_0013_20180618,356.799,zb006,0.5
wp_bp_0013_20180720,356.067,zb006,0.5
wp_bp_0013_20180820,355.153,zb006,0.5
wp_bp_0013_20181014,357.469,zb006,0.5
wp_bp_0013_20181109,359.207,zb006,0.5
wp_bp_0013_20181221,360.7,zb006,0.5
wp_bp_0013_20190221,363.504,zb006,0.5
wp_bp_0013_20190319,363.383,zb006,0.5
wp_bp_0013_20190409,362.59,zb006,0.5
wp_bp_0013_20190506,363.626,zb006,0.5
wp_bp_0013_20190606,364.541,zb006,0.5
wp_bp_0013_20190711,363.139,zb006,0.5
wp_bp_0013_20190808,361.31,zb006,0.5
wp_bp_0013_20190909,359.542,zb006,0.5
wp_bp_0013_20191015,359.237,zb006,0.5
wp_bp_0013_20191120,359.847,zb006,0.5
wp_bp_0013_20191218,360.335,zb006,0.5
wp_bp_0013_20200114,360.517,valid,0
wp_bp_0013_20200219,360.731,valid,0
wp_bp_0013_20200317,360.255,valid,0
wp_bp_0013_20200429,360.639,valid,0
wp_bp_0013_20200520,360.822,valid,0
wp_bp_0013_20200622,361.188,valid,0
wp_bp_0013_20200709,359.573,valid,0
wp_bp_0013_20200811,357.256,valid,0
wp_bp_0013_20200924,357.713,valid,0
wp_bp_0013_20201026,356.433,valid,0
wp_bp_0013_20201124,357.043,valid,0
wp_bp_0013_20210118,359.969,valid,0
wp_bp_0013_20210225,357.835,valid,0
wp_bp_0013_20210324,357.835,valid,0
wp_bp_0013_20210427,357.317,valid,0
wp_bp_0013_20210527,357.652,valid,0
wp_bp_0013_20210611,358.11,valid,0
wp_bp_0013_20210727,357.378,valid,0
wp_bp_0013_20210811,357.561,valid,0
wo_bp_0013_20150101,364.418,oobs,0
wo_bp_0013_20150201,364.564,oobs,0
wo_bp_0013_20150301,364.645,oobs,0
wo_bp_0013_20150401,364.64,oobs,0
wo_bp_0013_20150501,364.586,oobs,0
